quant_mode,gap_bin,num_trials,top1_preservation_rate,topK_set_preservation_rate,topK_miss_rate,argmax_changed_rate,score_gap_sign_flip_rate,mean_score_gap_rel_error,p95_score_gap_rel_error,max_score_gap_rel_error,same_policy_rate,same_confidence_rate,same_boundary_rate
double_baseline,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
double_baseline,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
double_baseline,gap_bin_transition,4,1,1,0,0,0,0,0,0,1,1,1
double_baseline,gap_bin_reliable,6,1,1,0,0,0,0,0,0,1,1,1
float32_all,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
float32_all,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
float32_all,gap_bin_transition,4,1,1,0,0,0,7.46473916841806e-05,0.000164490477352223,0.000164490477352223,1,1,1
float32_all,gap_bin_reliable,6,1,1,0,0,0,4.05351183912718e-05,7.11011224713431e-05,7.11011224713431e-05,1,1,1
combined_int16,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int16,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int16,gap_bin_transition,4,1,1,0,0,0,0.00851872191507304,0.0166435695591468,0.0166435695591468,1,1,1
combined_int16,gap_bin_reliable,6,1,1,0,0,0,0.00199946330527054,0.00408782969705136,0.00408782969705136,1,1,1
combined_int18,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int18,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int18,gap_bin_transition,4,1,1,0,0,0,0.00159857275120248,0.00304775445496853,0.00304775445496853,1,1,1
combined_int18,gap_bin_reliable,6,1,1,0,0,0,0.00101830933532591,0.00143506069417562,0.00143506069417562,1,1,1
combined_int24,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int24,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int24,gap_bin_transition,4,1,1,0,0,0,2.27512107202829e-05,3.360228942941e-05,3.360228942941e-05,1,1,1
combined_int24,gap_bin_reliable,6,1,1,0,0,0,1.72874177825221e-05,2.5397656921494e-05,2.5397656921494e-05,1,1,1
mixed_Z16_G24_Rz24,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mixed_Z16_G24_Rz24,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mixed_Z16_G24_Rz24,gap_bin_transition,4,1,1,0,0,0,9.50652409732348e-05,0.000224240372061225,0.000224240372061225,1,1,1
mixed_Z16_G24_Rz24,gap_bin_reliable,6,1,1,0,0,0,5.06304905286487e-05,0.000151388106248491,0.000151388106248491,1,1,1
combined_int14,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int14,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int14,gap_bin_transition,4,0.5,1,0,0.5,0,0.014514920622861,0.0331486823944751,0.0331486823944751,1,1,1
combined_int14,gap_bin_reliable,6,0.833333333333333,1,0,0.166666666666667,0,0.0117697178029618,0.017392370452826,0.017392370452826,1,1,1
W_int18_G24_Z16,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
W_int18_G24_Z16,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
W_int18_G24_Z16,gap_bin_transition,4,1,1,0,0,0,8.7302021926271e-05,0.000224205454713997,0.000224205454713997,1,1,1
W_int18_G24_Z16,gap_bin_reliable,6,1,1,0,0,0,5.05639151294196e-05,0.000151670665972952,0.000151670665972952,1,1,1
