config_id,config_name,gap_scale,easy_gap_threshold,easy_topK,easy_window_scale,ambiguous_gap_threshold,ambiguous_topK,boundary_topK,boundary_window_scale,cond_threshold,notes,is_control_config,topK_max,tau
1,C01_normal_only_control,Inf,Inf,3,1,-Inf,3,3,1,0.85,fixed topK3-equivalent control,1,7,0.02
2,C02_easy_conservative,0.003,0.003,2,0.75,0.0008,5,5,1.15,0.85,conservative easy saving,0,7,0.02
3,C03_easy_moderate,0.003,0.0025,2,0.65,0.0008,5,5,1.15,0.85,moderate easy saving,0,7,0.02
4,C04_easy_aggressive,0.003,0.0025,1,0.65,0.0008,5,5,1.15,0.85,aggressive top1 easy,0,7,0.02
5,C05_easy_very_aggressive,0.003,0.002,1,0.6,0.0008,5,5,1.15,0.85,very aggressive easy,0,7,0.02
6,C06_no_window_expand,0.003,0.0025,2,0.65,0.001,5,5,1,0.85,no boundary window expansion,0,7,0.02
7,C07_topK_only,0.003,0.0025,2,0.75,0.0012,5,5,1,0.85,topK only adjustment,0,7,0.02
8,C08_safe_default,0.004,0.0035,2,0.75,0.0006,5,5,1.15,0.85,safe default candidate,0,7,0.02
9,C09_gap_low,0.002,0.002,2,0.65,0.0006,5,5,1.15,0.85,low gap scale,0,7,0.02
10,C10_easy_top1_window075,0.003,0.003,1,0.75,0.0008,5,5,1.15,0.85,top1 easy with wider easy window,0,7,0.02
11,C11_default_plus_low_conf,0.003,Inf,3,1,-Inf,3,3,1,0.85,confidence decoupling control,1,7,0.02
12,C12_balanced_candidate,0.003,0.0028,2,0.7,0.0008,5,5,1.1,0.85,balanced candidate,0,7,0.02
