quant_mode,gap_bin,num_trials,top1_preservation_rate,topK_set_preservation_rate,topK_miss_rate,argmax_changed_rate,score_gap_sign_flip_rate,mean_score_gap_rel_error,p95_score_gap_rel_error,max_score_gap_rel_error,same_policy_rate,same_confidence_rate,same_boundary_rate
double_baseline,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
double_baseline,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
double_baseline,gap_bin_transition,6,1,1,0,0,0,0,0,0,1,1,1
double_baseline,gap_bin_reliable,6,1,1,0,0,0,0,0,0,1,1,1
float32_all,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
float32_all,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
float32_all,gap_bin_transition,6,1,1,0,0,0,0.000118195724936463,0.000486514664182594,0.000486514664182594,1,1,1
float32_all,gap_bin_reliable,6,1,1,0,0,0,3.74397062021955e-05,0.000105622725278157,0.000105622725278157,1,1,1
W_int16_only,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
W_int16_only,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
W_int16_only,gap_bin_transition,6,1,1,0,0,0,1.12557674546128e-05,2.5174885958855e-05,2.5174885958855e-05,1,1,1
W_int16_only,gap_bin_reliable,6,1,1,0,0,0,3.28255114424635e-06,4.68450076022725e-06,4.68450076022725e-06,1,1,1
Gcache_int16_only,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gcache_int16_only,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gcache_int16_only,gap_bin_transition,6,1,1,0,0,0,0.00100730829757473,0.00185252504574067,0.00185252504574067,1,1,1
Gcache_int16_only,gap_bin_reliable,6,1,1,0,0,0,0.000488978594074769,0.000623368874760705,0.000623368874760705,1,1,1
Z_int16_only,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Z_int16_only,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Z_int16_only,gap_bin_transition,6,1,1,0,0,0,0.00014000023379535,0.000402014878259418,0.000402014878259418,1,1,1
Z_int16_only,gap_bin_reliable,6,1,1,0,0,0,6.27662907528546e-05,0.000101729553710204,0.000101729553710204,1,1,1
Rz_int18_only,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rz_int18_only,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rz_int18_only,gap_bin_transition,6,1,1,0,0,0,0.000164819912699986,0.000280024828898017,0.000280024828898017,1,1,1
Rz_int18_only,gap_bin_reliable,6,1,1,0,0,0,0.000153661350467349,0.000378361958487239,0.000378361958487239,1,1,1
combined_int16,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int16,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int16,gap_bin_transition,6,1,1,0,0,0,0.00745174155282625,0.0181720978355982,0.0181720978355982,1,1,1
combined_int16,gap_bin_reliable,6,1,1,0,0,0,0.0025574046975099,0.00789897204344846,0.00789897204344846,1,1,1
combined_int18,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int18,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int18,gap_bin_transition,6,1,1,0,0,0,0.00232971277985611,0.00592833620622964,0.00592833620622964,1,1,1
combined_int18,gap_bin_reliable,6,1,1,0,0,0,0.000650195755135374,0.00154341504179651,0.00154341504179651,1,1,1
combined_int24,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int24,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int24,gap_bin_transition,6,1,1,0,0,0,2.17063525803955e-05,5.19644293577447e-05,5.19644293577447e-05,1,1,1
combined_int24,gap_bin_reliable,6,1,1,0,0,0,1.14962365999807e-05,2.13143556141579e-05,2.13143556141579e-05,1,1,1
mixed_Z16_G24_score_float,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mixed_Z16_G24_score_float,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mixed_Z16_G24_score_float,gap_bin_transition,6,1,1,0,0,0,0.000145826520008475,0.000367323990527104,0.000367323990527104,1,1,1
mixed_Z16_G24_score_float,gap_bin_reliable,6,1,1,0,0,0,6.60909875502275e-05,0.000105622725278157,0.000105622725278157,1,1,1
mixed_Z16_G24_Rz24,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mixed_Z16_G24_Rz24,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mixed_Z16_G24_Rz24,gap_bin_transition,6,1,1,0,0,0,0.000160351015706869,0.000396010556519298,0.000396010556519298,1,1,1
mixed_Z16_G24_Rz24,gap_bin_reliable,6,1,1,0,0,0,5.45109044949052e-05,8.77118977304485e-05,8.77118977304485e-05,1,1,1
combined_int14,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int14,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
combined_int14,gap_bin_transition,6,0.833333333333333,1,0,0.166666666666667,0,0.0191075593935582,0.0354613325094253,0.0354613325094253,1,1,1
combined_int14,gap_bin_reliable,6,0.833333333333333,1,0,0.166666666666667,0,0.0133396476923658,0.0192495008619151,0.0192495008619151,1,1,1
Gcache_int24_only,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gcache_int24_only,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gcache_int24_only,gap_bin_transition,6,1,1,0,0,0,1.62016092698497e-06,3.24692320122648e-06,3.24692320122648e-06,1,1,1
Gcache_int24_only,gap_bin_reliable,6,1,1,0,0,0,6.74973378876635e-07,8.17675922363682e-07,8.17675922363682e-07,1,1,1
W_int18_G24_Z16,gap_bin_very_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
W_int18_G24_Z16,gap_bin_weak,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
W_int18_G24_Z16,gap_bin_transition,6,1,1,0,0,0,0.00017035478497185,0.000396096503889574,0.000396096503889574,1,1,1
W_int18_G24_Z16,gap_bin_reliable,6,1,1,0,0,0,7.03443074606202e-05,0.000119484596064997,0.000119484596064997,1,1,1
