center_az,scenario_name,trial_id,seed,N_input_channels,B_output_beams,L_snapshots,W_method,quant_mode,shift_bits,scale_w,scale_y,max_abs_acc,max_abs_z_integer,headroom_bits_observed,clip_count,overflow_count,clip_rate,overflow_rate,Z_rel_l2_error,Z_max_abs_error,beam_power_rel_error,top_beam_same_rate,topK_beam_set_preservation,beam_power_rank_preservation,Z_cov_Rz_rel_error,same_backend_input_shape,Rz_shape_same,cpu_soc_ml_ready_flag,observation_id,W_clip_rate,Y_clip_rate
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,0,3909131.27508984,33096.7261219178,2755403149320,2755403149320,-19,224,224,1,1,0.999994187408462,22.1718279880156,0.999999999970875,0,0,0.238095238095238,0.999999999960246,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,1,3909131.27508984,33096.7261219178,2755403149320,1377701574660,-18,224,224,1,1,0.999988374851573,22.1717393922345,0.999999999883498,0,0,0.238095238095238,0.999999999840983,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,2,3909131.27508984,33096.7261219178,2755403149320,688850787330,-17,224,224,1,1,0.99997674984174,22.1715622007479,0.999999999533992,0,0,0.238095238095238,0.999999999363933,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,3,3909131.27508984,33096.7261219178,2755403149320,344425393665,-16,224,224,1,1,0.999953500237876,22.171207818077,0.999999998135967,0,0,0.238095238095238,0.999999997455732,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,4,3909131.27508984,33096.7261219178,2755403149320,172212696833,-15,224,224,1,1,0.999907002693492,22.1704990539444,0.999999992543866,0,0,0.238095238095238,0.999999989822927,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,5,3909131.27508984,33096.7261219178,2755403149320,86106348416,-14,224,224,1,1,0.999814014259173,22.1690815305169,0.999999970175465,0,0,0.238095238095238,0.999999959291709,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,6,3909131.27508984,33096.7261219178,2755403149320,43053174208,-13,224,224,1,1,0.999628064017013,22.1662465030166,0.999999880701867,0,0,0.238095238095238,0.99999983716685,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,7,3909131.27508984,33096.7261219178,2755403149320,21526587104,-12,224,224,1,1,0.999256270107956,22.1605765254702,0.999999522807583,0,0,0.238095238095238,0.999999348667603,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,8,3909131.27508984,33096.7261219178,2755403149320,10763293552,-11,224,224,1,1,0.998513109146389,22.1492368804707,0.999998091232175,0,0,0.238095238095238,0.999997394673653,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,9,3909131.27508984,33096.7261219178,2755403149320,5381646776,-10,224,224,1,1,0.997028499102515,22.1265588330707,0.999992364958202,0,0,0.238095238095238,0.999989578746505,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,10,3909131.27508984,33096.7261219178,2755403149320,2690823388,-9,221,221,0.986607142857143,0.986607142857143,0.994066117791088,22.081207726532,0.999969474883825,0,0.333333333333333,0.619047619047619,0.999958385585898,1,1,1,1,0,0
0,easy_noncoherent,1,20261620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,11,3909131.27508984,33096.7261219178,2755403149320,1345411694,-8,218,218,0.973214285714286,0.973214285714286,0.988168305098161,21.9905256105148,0.999878046065747,0,1,0.857142857142857,0.999833928096099,1,1,1,1,0,0
