summary_scope,stress_group,stress_case_name,n_trials,fixed_success,adaptive_success,fixed_rmse,adaptive_rmse,fixed_mean_num_pairs,adaptive_mean_num_pairs,adaptive_vs_fixed_pair_count_ratio,ill_conditioned_real_trigger_rate,ill_conditioned_real_trigger_count,mean_cond_risk,max_cond_risk,mean_cond_best_GHG,max_cond_best_GHG,low_confidence_rate,medium_low_confidence_rate,high_confidence_misuse_rate,adaptive_topK_miss_rate,adaptive_boundary_hit_rate,safe_confidence_pass_flag
stress_group,close_same_elevation_coherent_pair,,40,0,0,0.322214725000534,0.322214725000534,16920,19161,1.13244680851064,0,0,0.181026762728611,0.203160669221286,33.7131218237301,42.1973670726862,0,1,0,0.25,0,1
stress_group,near_antiphase_close_pair,,40,1,1,0.0653726610725763,0.0653726610725763,18936,18936,1,0,0,0.225446533226399,0.225446533226398,63.6168653336335,63.6168653336335,0,0,0,0,0,1
stress_group,weak_secondary_close_pair,,20,0,0,0.360350909597801,0.360350909597801,16425.5,19172.5,1.16723996225381,0,0,0.153767094767581,0.153767094767581,16.9877850893592,16.9877850893592,0,1,0,0,0,1
stress_group,lower_snr_close_pair,,20,0,0,0.347215133168964,0.347215133168964,16920,18756,1.10851063829787,0,0,0.203160669221286,0.203160669221286,42.1973670726862,42.1973670726862,0,1,0,0,0,1
stress_case,,ill_real_sep_0p30_phase0,10,0,0,0.381837661840735,0.381837661840735,18504,20376,1.1011673151751,0,0,0.114625043250585,0.114625043250585,8.26038607686183,8.26038607686183,0,1,0,1,0,1
stress_case,,ill_real_sep_0p20_phase0,10,0,0,0.359583091927304,0.359583091927304,18504,18756,1.0136186770428,0,0,0.203160669221286,0.203160669221286,42.1973670726862,42.1973670726862,0,1,0,0,0,1
stress_case,,ill_real_sep_0p15_phase0,10,0,0,0.330643312347308,0.330643312347308,15336,18756,1.22300469483568,0,0,0.203160669221286,0.203160669221286,42.1973670726862,42.1973670726862,0,1,0,0,0,1
stress_case,,ill_real_sep_0p10_phase0,10,0,0,0.216794833886787,0.216794833886787,15336,18756,1.22300469483568,0,0,0.203160669221286,0.203160669221286,42.1973670726862,42.1973670726862,0,1,0,0,0,1
stress_case,,ill_real_sep_0p30_phase180,10,1,1,0.0883176086632784,0.0883176086632784,18936,18936,1,0,0,0.225446533226398,0.225446533226398,63.6168653336334,63.6168653336335,0,0,0,0,0,1
stress_case,,ill_real_sep_0p20_phase180,10,1,1,0.0574456264653794,0.0574456264653794,18936,18936,1,0,0,0.225446533226398,0.225446533226398,63.6168653336334,63.6168653336335,0,0,0,0,0,1
stress_case,,ill_real_sep_0p15_phase180,10,1,1,0.054083269131959,0.054083269131959,18936,18936,1,0,0,0.225446533226398,0.225446533226398,63.6168653336334,63.6168653336335,0,0,0,0,0,1
stress_case,,ill_real_sep_0p10_phase180,10,1,1,0.0616441400296884,0.0616441400296884,18936,18936,1,0,0,0.225446533226398,0.225446533226398,63.6168653336334,63.6168653336335,0,0,0,0,0,1
stress_case,,ill_real_sep_0p20_beta03_phase0,10,0,0,0.440478693811562,0.440478693811562,15808,19228,1.21634615384615,0,0,0.153767094767581,0.153767094767581,16.9877850893592,16.9877850893592,0,1,0,0,0,1
stress_case,,ill_real_sep_0p15_beta03_phase0,10,0,0,0.280223125384041,0.280223125384041,17043,19117,1.12169219034208,0,0,0.153767094767581,0.153767094767581,16.9877850893592,16.9877850893592,0,1,0,0,0,1
stress_case,,ill_real_sep_0p20_snr20,10,0,0,0.36378695399062,0.36378695399062,18504,18756,1.0136186770428,0,0,0.203160669221286,0.203160669221286,42.1973670726862,42.1973670726862,0,1,0,0,0,1
stress_case,,ill_real_sep_0p15_snr20,10,0,0,0.330643312347308,0.330643312347308,15336,18756,1.22300469483568,0,0,0.203160669221286,0.203160669221286,42.1973670726862,42.1973670726862,0,1,0,0,0,1
overall,,,120,0.333333333333333,0.333333333333333,0.247123469152164,0.247123469152164,17509.5833333333,19020.4166666667,1.0862860814316,0,0,0.194979059316481,0.225446533226398,42.3075210794621,63.6168653336335,0,0.666666666666667,0,0.0833333333333333,0,1
