step11_adapter_found_flag,1
uses_step89_results_flag,0
formal_trial_count,12
min_formal_obs,12
quick_mode_flag,0
chunked_run_flag,1
formal_plan_total_obs,60
formal_plan_completed_obs,12
formal_plan_complete_flag,0
formal_min_obs_satisfied_flag,1
chunks_detected,2
chunks_completed,2
run_tag,chunk_pilot_tps3
smoke_ranking_pass_flag,0
smoke_topK_pass_flag,0
smoke_fixed_point_pass_flag,0
smoke_recommended_fixed_point_format,not_recommended
score_direction,higher_is_better
score_direction_inferred_flag,0
topK_default,10
reliable_margin_threshold,0.001
best_fixed_point_mode,combined_int16
best_fixed_point_reliable_top1_preservation,1
best_fixed_point_reliable_topK_preservation,1
best_fixed_point_overall_topK_preservation,1
best_fixed_point_argmax_changed_reliable,0
best_fixed_point_score_gap_flip_reliable,0
combined_int16_formal_pass_flag,1
combined_int16_reliable_top1_preservation,1
combined_int16_reliable_topK_preservation,1
combined_int16_overall_topK_preservation,1
combined_int16_argmax_changed_reliable,0
combined_int16_score_gap_flip_reliable,0
combined_int16_blocker_if_any,none
minimum_passing_mode,combined_int16
engineering_recommended_fixed_point_format,combined_int16
mode_selection_reason,minimum_passing_fixed_candidate_selected
ranking_pass_flag,1
topK_pass_flag,1
fixed_point_pass_flag,1
recommended_fixed_point_format,combined_int16
blocker_if_any,none
proceed_to_rtl_score_core_flag,1
proceed_to_rtl_score_core_smoke_flag,0
proceed_to_full_fpga_backend_flag,0
reliable_margin_instability_flag,0
failures_limited_to_low_margin_cases,0
worst_gap_bin_for_recommended_mode,gap_bin_transition
cache_memory_MB_total_est,0.0754432678223
BRAM36_total_est,23
URAM288_total_est,7
